Pendant Style,Chain Style（Optional）,"Clasp（Optional, we could pick one as default）",,,,,,,,,,,,,,,,,,,,,,,test1,test2
Solitaire(fixed? moveable? or choosable),Cable Chain（most classic）,Spring Ring,,,,,,,,,,,,,,,,,,,,,,,,
Halo,Box Chain,Lobster Clasp,,,,,,,,,,,,,,,,,,,,,,,,
Clover,Wheat Chain,Adjustable Slider Clasp,,,,,,,,,,,,,,,,,,,,,,,,
Graduated（need choose total carats）,Singapore Chain,,,,,,,,,,,,,,,,,,,,,,,,,
Journey,Rope Chain,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennis Necklace,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Necklace,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggested Style(English),Style(中文),reference link,images,Comparable specs,Competitor price refs,Lowest comparable price,Average comparable price,Comparability notes,,,,,,,,,,,,,,,,,,
Solitaire,单钻,https://www.grownbrilliance.com/3-ctw-round-lab-grown-diamond-solitaire-pendant-platinum/pid/PNGTXP07660R300-PL3,https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/PNGTXP07660R300/medium/PNGTXP07660R300-WG-RB-WH-300-M0.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/PNGTXP07660R300/medium/PNGTXP07660R300-WG-RB-WH-300-M1.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/PNGTXP07660R150/medium/PNGTXP07660R150-GW6-new.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/PNGJOP599/medium/PNGJOP599-WG-RB-WH-100-M3.jpg,3 ctw round lab solitaire pendant; platinum/14K white; chain included where listed,"Blue Nile $2,820; Brilliance $3,095; Grown Brilliance $3,495","$2,820.00","$3,136.67","Spec-checked 2026-07-02: added Brilliance 3 ct round lab pendant at $3,095; lower than GB but higher than Blue Nile. Brilliance direct fetch may be bot-blocked, so price/spec are from indexed product result.",,,,,,,,,,,,,,,,,,
Halo,单钻带一圈碎钻,https://www.grownbrilliance.com/1-3-4-ctw-round-lab-grown-diamond-halo-pendant-with-adjustable-chain-14k-rose-gold/pid/PNGTXP01957-GP3,https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/PNGTXP01957/medium/PNGTXP01957-RG-RB-WH-175-M0.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/PNGTXP01957/medium/PNGTXP01957-RG-RB-WH-175-M1.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/PNGTXP01957/medium/PNGTXP01957-RG-M2.jpg,1.75 ctw round lab halo pendant; 14K rose/white; adjustable chain,"$2,265; $2,155; $2,265","$2,155.00","$2,228.33",Spec-checked 2026-07-02: same-product 1.75 ctw halo pendant variants only.,,,,,,,,,,,,,,,,,,
Clover,四叶草,https://www.bluenile.com/jewelry/necklaces/cluster-diamond-flower-pendant-necklace-with-1-ctw-round-cut-lab-grown-diamonds-in-14k-white-gold-item-302692?utm_source=google&utm_medium=sem_unbranded_shopping&utm_campaign=semus_bn_google_us_jewelry_labgrownjewelry&utm_term=Lab_Grown_Necklaces&utm_content=666911997034&gad_source=1&gad_campaignid=20393548284&gbraid=0AAAAAD_EjsilRPYWMzhiU0urRrZuL3i6o&gclid=Cj0KCQjwxvjRBhC2ARIsAI7KJa3t9XcuR6rpiNTADWTAxjq94mLctYRBBGG850eFFPj_QlzJYPnNi0UaAm2_EALw_wcB,https://ion.bluenile.com/sets/Jewelry/Photoshoot/Bluenile/Orbitvu/FineJewelry/857162W1404L/857162W1404L_SKU_1_1600X1600.jpg,1 ctw round lab diamond flower/clover cluster pendant; 14K white,"Blue Nile $1,610","$1,610.00","$1,610.00",Spec-checked 2026-07-02: kept only 1 ctw clover/flower product; removed 1/2 ctw lower-carat link from average.,,,,,,,,,,,,,,,,,,
Graduated,横向排钻,https://www.grownbrilliance.com/5-ctw-round-lab-grown-diamond-thirteen-stone-demi-eternity-necklace-14k-white-gold/pid/NECRN01233R500-GW2?cq_src=google_ads&cq_cmp=22123575278&cq_con=178662484052&cq_term=&cq_med=pla&cq_plac=&cq_net=g&cq_plt=gp&gad_source=1&gad_campaignid=22123575278&gclid=Cj0KCQjwxvjRBhC2ARIsAI7KJa3vJ9HK-qt1-kNJTNygGs5lxu8oEQOPCPu8Oc0cUu9fngs0HkEYxvQaAovcEALw_wcB,https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/NCGRVN01233R500/medium/NCGRVN01233R500-WG-RB-WH-500-M0.jpg,5 ctw round lab graduated / thirteen-stone demi eternity necklace; 14K white,"Grown Brilliance $3,895","$3,895.00","$3,895.00",Spec-checked 2026-07-02: removed duplicate/unverified sale-price entry; kept exact 5 ctw graduated necklace product.,,,,,,,,,,,,,,,,,,
Journey,小圆钻连大钻,https://www.bluenile.com/jewelry/necklaces/diamond-drop-necklace-with-125-ctw-round-and-pear-shaped-lab-grown-diamonds-in-14k-white-gold-item-309201?utm_source=google&utm_medium=sem_unbranded_shopping&utm_campaign=semus_bn_google_us_jewelry_labgrownjewelry&utm_term=Lab_Grown_Necklaces&utm_content=666911997034&gad_source=1&gad_campaignid=20393548284&gbraid=0AAAAAD_EjsilRPYWMzhiU0urRrZuL3i6o&gclid=Cj0KCQjwxvjRBhC2ARIsAI7KJa2FQc5EygWIe3q_o3M75IZkmKuoouvPKLmjysKE8mvOPy7mqFJtvfEaAvbaEALw_wcB,https://ion.bluenile.com/sets/Jewelry/Photoshoot/Bluenile/Orbitvu/FineJewelry/857170W14L/857170W14L_SKU_1_1600X1600.jpg,1.25 ctw lab diamond journey/drop pendant; round/pear or mixed stones; 14K white,No stable comparable retail link retained yet,,,Spec-checked 2026-07-02: no stable directly comparable 1.25 ctw journey/drop pendant retail link retained yet.,,,,,,,,,,,,,,,,,,
Butterfly,蝴蝶大钻,https://dianamjewels.com/products/lab-grown-diamond-marquise-pear-cut-flower-pendant?variant=47022501593188,https://dianamjewels.com/cdn/shop/files/DP2284-2W_f45a16d1-c237-45c6-b77f-74978e8991c0.jpg?v=1764706150&width=1600,Marquise/pear lab diamond butterfly or flower pendant,No stable comparable retail link retained yet,,,Spec-checked 2026-07-02: no stable directly comparable butterfly/flower pendant retail link retained yet.,,,,,,,,,,,,,,,,,,
Tennis Necklace,网球项链,https://www.grownbrilliance.com/5-ctw-round-lab-grown-diamond-four-prong-tennis-necklace-14k-rose-gold/pid/NECUDN03480GP2-18,https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/NCGXK4149Q/medium/NCGXK4149Q-RG-RB-WH-700-M0.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/NCGXK4149Q/medium/NCGXK4149Q-RG-RB-WH-700-M4.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/NCGUK2582QOB/medium/NCGUK2582QOB-RG-RB-WH-2450-M2.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/NCGXK4149Q/medium/NCGXK4149Q-RG-RB-WH-700-M1.jpg,5 ctw round lab four-prong tennis necklace; 14K rose/white,"$4,995; $4,995","$4,995.00","$4,995.00",Spec-checked 2026-07-02: kept exact 5 ctw tennis necklace variants; removed incorrect directional 7 ctw/duplicate entry.,,,,,,,,,,,,,,,,,,
Station Necklace,泡泡链,https://www.grownbrilliance.com/2-ctw-round-lab-grown-diamond-station-necklace-14k-white-gold/pid/NECKN29498-GW2-16?cq_src=google_ads&cq_cmp=22123575278&cq_con=178662484052&cq_term=&cq_med=pla_with_promotion&cq_plac=&cq_net=g&cq_plt=gp&gad_source=1&gad_campaignid=22123575278&gclid=CjwKCAjwl97RBhBWEiwAa9rbXfkzl0yBNueHp24spA_vTL_zTFZp8rUDss-nkguF0iLgLRjCEY2cORoC_7IQAvD_BwE,https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/NCGKN29498/medium/NCGKN29498-WG-RB-WH-200-M0-1.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/NCGKN29498/medium/NCGKN29498-WG-RB-WH-200-M4.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/NCGKN29498/medium/NCGKN29498-WG-RB-WH-200-M2-1.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/NCGKN29498/medium/NCGKN29498-WG-RB-WH-200-M1-1.jpg,2 ctw round lab station necklace; 14K white; 16-18 in,"$2,265; $2,265","$2,265.00","$2,265.00",Spec-checked 2026-07-02: same-product 2 ctw station necklace variants.,,,,,,,,,,,,,,,,,,
Cross,十字架,https://www.grownbrilliance.com/3-ctw-round-lab-grown-diamond-cross-pendant-with-adjustable-chain-14k-rose-gold/pid/PENKP0960-GP2?algoliaQueryId=0043d09c1b5739ede681cb946715a36a&category_id=41,https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/PNGKP0960/medium/PNGKP0960-RG-RB-WH-300-M0.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/PNGJOP599/medium/PNGJOP599-RG-RB-WH-100-M1.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/PNGJOP599/medium/PNGJOP599-GW4-1-NEW.jpg,3 ctw round lab diamond cross pendant; 14K rose/white/yellow,"Grown Brilliance $3,060","$3,060.00","$3,060.00",Spec-checked 2026-07-02: removed duplicate same-URL prices; kept exact 3 ctw cross pendant source.,,,,,,,,,,,,,,,,,,
Cross 2,十字架 2,https://www.grownbrilliance.com/1-2-3-ctw-shield-lab-grown-diamond-cross-statement-pendant-14k-white-gold/pid/PENJOP7967-GW2-18?algoliaQueryId=0043d09c1b5739ede681cb946715a36a&category_id=41,https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/NJOP7967/medium/NJOP7967-WG-M0.jpg | https://media.grownbrilliance.com/a2c5372a-e16a-4ea3-b361-da9fdc89a59f/https://images.grownbrilliance.com/productimages/NJOP7967/medium/NJOP7967-WG-M1.jpg,1.67 ctw shield lab diamond cross statement pendant; 14K white,"Grown Brilliance $6,695","$6,695.00","$6,695.00",Spec-checked 2026-07-02: fixed wrong station-necklace link; now points to the Cross 2 shield cross pendant product.,,,,,,,,,,,,,,,,,,